([135, 77], 0, {'feature': 77, 0: {'feature': 135, 0: -1, 1: -1}, 1: {'feature': 135, 0: -1, 1: -1}}, 0.86)
([135, 77], 1, {'feature': 135, 0: {'feature': 77, 0: -1, 1: -1}, 1: {'feature': 77, 0: -1, 1: -1}}, 0.9013043478260869)
([135, 77], 2, {'feature': 77, 0: {'feature': 135, 0: -1, 1: -1}, 1: {'feature': 135, 0: 2, 1: 2}}, 0.5069565217391304)
([135, 77], 3, {'feature': 77, 0: {'feature': 135, 0: -1, 1: -1}, 1: -1}, 0.88)
([135, 77], 4, {'feature': 77, 0: {'feature': 135, 0: -1, 1: -1}, 1: {'feature': 135, 0: -1, 1: -1}}, 0.8565217391304348)
([24, 105], 0, {'feature': 105, 0: {'feature': 24, 0: -1, 1: -1}, 1: {'feature': 24, 0: -1, 1: -1}}, 0.86)
([24, 105], 1, {'feature': 105, 0: {'feature': 24, 0: -1, 1: -1}, 1: {'feature': 24, 0: -1, 1: -1}}, 0.9013043478260869)
([24, 105], 2, {'feature': 105, 0: {'feature': 24, 0: 2, 1: -1}, 1: {'feature': 24, 0: -1, 1: 2}}, 0.5156521739130435)
([24, 105], 3, {'feature': 105, 0: {'feature': 24, 0: -1, 1: -1}, 1: {'feature': 24, 0: -1, 1: -1}}, 0.88)
([24, 105], 4, {'feature': 105, 0: {'feature': 24, 0: -1, 1: -1}, 1: {'feature': 24, 0: -1, 1: -1}}, 0.8565217391304348)
([186, 164], 0, {'feature': 186, 0: {'feature': 164, 0: -1, 1: -1}, 1: {'feature': 164, 0: -1, 1: -1}}, 0.86)
([186, 164], 1, {'feature': 164, 0: {'feature': 186, 0: -1, 1: -1}, 1: {'feature': 186, 0: -1, 1: -1}}, 0.9013043478260869)
([186, 164], 2, {'feature': 164, 0: {'feature': 186, 0: 2, 1: 2}, 1: {'feature': 186, 0: -1, 1: -1}}, 0.5191304347826087)
([186, 164], 3, {'feature': 164, 0: {'feature': 186, 0: -1, 1: -1}, 1: {'feature': 186, 0: -1, 1: -1}}, 0.88)
([186, 164], 4, {'feature': 164, 0: {'feature': 186, 0: -1, 1: -1}, 1: {'feature': 186, 0: -1, 1: -1}}, 0.8565217391304348)
([149, 110], 0, {'feature': 149, 0: {'feature': 110, 0: -1, 1: -1}, 1: {'feature': 110, 0: -1, 1: -1}}, 0.86)
([149, 110], 1, {'feature': 110, 0: {'feature': 149, 0: -1, 1: -1}, 1: -1}, 0.9013043478260869)
([149, 110], 2, {'feature': 110, 0: {'feature': 149, 0: -1, 1: -1}, 1: {'feature': 149, 0: 2, 1: -1}}, 0.5030434782608696)
([149, 110], 3, {'feature': 149, 0: {'feature': 110, 0: -1, 1: -1}, 1: {'feature': 110, 0: -1, 1: -1}}, 0.88)
([149, 110], 4, {'feature': 110, 0: {'feature': 149, 0: -1, 1: -1}, 1: {'feature': 149, 0: -1, 1: -1}}, 0.8565217391304348)
([28, 166], 0, {'feature': 166, 0: {'feature': 28, 0: -1, 1: -1}, 1: {'feature': 28, 0: -1, 1: -1}}, 0.86)
([28, 166], 1, {'feature': 28, 0: {'feature': 166, 0: -1, 1: -1}, 1: {'feature': 166, 0: -1, 1: -1}}, 0.9013043478260869)
([28, 166], 2, {'feature': 166, 0: {'feature': 28, 0: 2, 1: 2}, 1: {'feature': 28, 0: -1, 1: -1}}, 0.5104347826086957)
([28, 166], 3, {'feature': 28, 0: {'feature': 166, 0: -1, 1: -1}, 1: {'feature': 166, 0: -1, 1: -1}}, 0.88)
([28, 166], 4, {'feature': 166, 0: {'feature': 28, 0: -1, 1: -1}, 1: {'feature': 28, 0: -1, 1: -1}}, 0.8565217391304348)
([63, 50], 0, {'feature': 50, 0: {'feature': 63, 0: -1, 1: -1}, 1: {'feature': 63, 0: -1, 1: -1}}, 0.86)
([63, 50], 1, {'feature': 50, 0: {'feature': 63, 0: -1, 1: -1}, 1: {'feature': 63, 0: -1, 1: -1}}, 0.9013043478260869)
([63, 50], 2, {'feature': 50, 0: {'feature': 63, 0: 2, 1: -1}, 1: {'feature': 63, 0: -1, 1: 2}}, 0.52)
