(3, 0, {0: -1, 1: 0, 'feature': 4}, 0.5985576923076923)
(5, 0, {0: -1, 1: 0, 'feature': 6}, 0.5865384615384616)
(13, 0, {0: -1, 1: 0, 'feature': 14}, 0.5913461538461539)
(16, 0, {0: -1, 1: 0, 'feature': 17}, 0.5961538461538461)
(19, 0, {0: -1, 1: 0, 'feature': 20}, 0.6033653846153846)
(29, 0, {0: -1, 1: 3, 'feature': 30}, 0.59375)
(30, 0, {0: -1, 1: 0, 'feature': 31}, 0.5673076923076923)
(33, 0, {0: -1, 1: 3, 'feature': 34}, 0.59375)
(35, 0, {0: -1, 1: 0, 'feature': 36}, 0.59375)
(42, 0, {0: -1, 1: 0, 'feature': 43}, 0.5961538461538461)
(43, 0, {0: -1, 1: 3, 'feature': 44}, 0.59375)
(46, 0, {0: -1, 1: 3, 'feature': 47}, 0.59375)
(52, 0, {0: -1, 1: 0, 'feature': 53}, 0.5961538461538461)
(55, 0, {0: -1, 1: 0, 'feature': 56}, 0.6033653846153846)
(58, 0, {0: -1, 1: 0, 'feature': 59}, 0.6153846153846154)
(68, 0, {0: -1, 1: 3, 'feature': 69}, 0.59375)
(79, 0, {0: -1, 1: 0, 'feature': 80}, 0.6009615384615384)
(80, 0, {0: -1, 1: 3, 'feature': 81}, 0.59375)
(83, 0, {0: -1, 1: 3, 'feature': 84}, 0.59375)
(86, 0, {0: -1, 1: 3, 'feature': 87}, 0.59375)
(89, 0, {0: -1, 1: 0, 'feature': 90}, 0.59375)
(92, 0, {0: -1, 1: 0, 'feature': 93}, 0.5985576923076923)
(95, 0, {0: -1, 1: 0, 'feature': 96}, 0.6105769230769231)
(103, 0, {0: -1, 1: 3, 'feature': 104}, 0.59375)
(105, 0, {0: -1, 1: 3, 'feature': 106}, 0.59375)
(116, 0, {0: -1, 1: 0, 'feature': 117}, 0.59375)
(117, 0, {0: -1, 1: 3, 'feature': 118}, 0.59375)
(120, 0, {0: -1, 1: 3, 'feature': 121}, 0.59375)
(122, 0, {0: -1, 1: 3, 'feature': 123}, 0.59375)
(126, 0, {0: -1, 1: 0, 'feature': 127}, 0.5961538461538461)
(127, 0, {0: -1, 1: 3, 'feature': 128}, 0.59375)
(129, 0, {0: -1, 1: 0, 'feature': 130}, 0.6081730769230769)
(130, 0, {0: -1, 1: 3, 'feature': 131}, 0.59375)
(132, 0, {0: -1, 1: 0, 'feature': 133}, 0.6153846153846154)
(140, 0, {0: -1, 1: 3, 'feature': 141}, 0.59375)
(142, 0, {0: -1, 1: 3, 'feature': 143}, 0.59375)
(144, 0, {0: -1, 1: 0, 'feature': 145}, 0.5889423076923077)
(146, 0, {0: -1, 1: 3, 'feature': 147}, 0.59375)
(150, 0, {0: -1, 1: 0, 'feature': 151}, 0.5817307692307693)
(153, 0, {0: -1, 1: 0, 'feature': 154}, 0.6009615384615384)
(154, 0, {0: -1, 1: 3, 'feature': 155}, 0.59375)
(157, 0, {0: -1, 1: 3, 'feature': 158}, 0.59375)
(159, 0, {0: -1, 1: 3, 'feature': 160}, 0.59375)
(163, 0, {0: -1, 1: 0, 'feature': 164}, 0.59375)
(164, 0, {0: -1, 1: 3, 'feature': 165}, 0.59375)
(166, 0, {0: -1, 1: 0, 'feature': 167}, 0.6009615384615384)
(167, 0, {0: -1, 1: 3, 'feature': 168}, 0.59375)
(169, 0, {0: -1, 1: 0, 'feature': 170}, 0.6081730769230769)
(177, 0, {0: -1, 1: 3, 'feature': 178}, 0.59375)
(179, 0, {0: -1, 1: 3, 'feature': 180}, 0.59375)
(189, 0, {0: -1, 1: 0, 'feature': 190}, 0.5913461538461539)
(190, 0, {0: -1, 1: 0, 'feature': 191}, 0.5961538461538461)
(194, 0, {0: -1, 1: 1, 'feature': 195}, 0.59375)
(195, 0, {0: -1, 1: 1, 'feature': 196}, 0.59375)
(197, 0, {0: -1, 1: 3, 'feature': 198}, 0.59375)
(199, 0, {0: -1, 1: 0, 'feature': 200}, 0.6057692307692307)
(202, 0, {0: -1, 1: 0, 'feature': 203}, 0.6033653846153846)
(204, 0, {0: -1, 1: 3, 'feature': 205}, 0.59375)
(205, 0, {0: -1, 1: 2, 'feature': 206}, 0.59375)
(207, 0, {0: -1, 1: 0, 'feature': 208}, 0.5985576923076923)
(208, 0, {0: -1, 1: 0, 'feature': 209}, 0.6201923076923077)
(210, 0, {0: -1, 1: 0, 'feature': 211}, 0.6105769230769231)
(213, 0, {0: -1, 1: 0, 'feature': 214}, 0.6129807692307693)
(214, 0, {0: -1, 1: 3, 'feature': 215}, 0.59375)
