([106], 0, {'feature': 106, 0: -1, 1: 3}, 0.5843478260869566)
([80], 0, {'feature': 80, 0: -1, 1: 0}, 0.5895652173913043)
([158], 0, {'feature': 158, 0: -1, 1: 3}, 0.5843478260869566)
([44], 0, {'feature': 44, 0: -1, 1: 3}, 0.5843478260869566)
([190], 0, {'feature': 190, 0: -1, 1: 0}, 0.6056521739130435)
([180], 0, {'feature': 180, 0: -1, 1: 3}, 0.5843478260869566)
([34], 0, {'feature': 34, 0: -1, 1: 3}, 0.5843478260869566)
([36], 0, {'feature': 36, 0: -1, 1: 0}, 0.5860869565217391)
([154], 0, {'feature': 154, 0: -1, 1: 0}, 0.5895652173913043)
([93], 0, {'feature': 93, 0: -1, 1: 0}, 0.5921739130434782)
([53], 0, {'feature': 53, 0: -1, 1: 0}, 0.5960869565217392)
([81], 0, {'feature': 81, 0: -1, 1: 3}, 0.5843478260869566)
([118], 0, {'feature': 118, 0: -1, 1: 3}, 0.5843478260869566)
([17], 0, {'feature': 17, 0: -1, 1: 0}, 0.5860869565217391)
([43], 0, {'feature': 43, 0: -1, 1: 0}, 0.5921739130434782)
([4], 0, {'feature': 4, 0: -1, 1: 0}, 0.587391304347826)
([155], 0, {'feature': 155, 0: -1, 1: 3}, 0.5843478260869566)
([203], 0, {'feature': 203, 0: -1, 1: 0}, 0.6052173913043478)
([209], 0, {'feature': 209, 0: -1, 1: 0}, 0.5965217391304348)
([206], 0, {'feature': 206, 0: -1, 1: 2}, 0.5843478260869566)
([96], 0, {'feature': 96, 0: -1, 1: 0}, 0.5904347826086956)
([168], 0, {'feature': 168, 0: -1, 1: 3}, 0.5843478260869566)
([200], 0, {'feature': 200, 0: -1, 1: 0}, 0.5878260869565217)
([160], 0, {'feature': 160, 0: -1, 1: 3}, 0.5843478260869566)
([165], 0, {'feature': 165, 0: -1, 1: 3}, 0.5843478260869566)
([14], 0, {'feature': 14, 0: -1, 1: 0}, 0.5934782608695652)
([167], 0, {'feature': 167, 0: -1, 1: 0}, 0.5995652173913043)
([211], 0, {'feature': 211, 0: -1, 1: 0}, 0.6)
([20], 0, {'feature': 20, 0: -1, 1: 0}, 0.5939130434782609)
([69], 0, {'feature': 69, 0: -1, 1: 3}, 0.5843478260869566)
([215], 0, {'feature': 215, 0: -1, 1: 3}, 0.5843478260869566)
([56], 0, {'feature': 56, 0: -1, 1: 0}, 0.5926086956521739)
([90], 0, {'feature': 90, 0: -1, 1: 0}, 0.59)
([87], 0, {'feature': 87, 0: -1, 1: 3}, 0.5843478260869566)
([198], 0, {'feature': 198, 0: -1, 1: 3}, 0.5843478260869566)
([133], 0, {'feature': 133, 0: -1, 1: 0}, 0.59)
([208], 0, {'feature': 208, 0: -1, 1: 0}, 0.5895652173913043)
([145], 0, {'feature': 145, 0: -1, 1: 0}, 0.5852173913043478)
([84], 0, {'feature': 84, 0: -1, 1: 3}, 0.5843478260869566)
([214], 0, {'feature': 214, 0: -1, 1: 0}, 0.5978260869565217)
([117], 0, {'feature': 117, 0: -1, 1: 0}, 0.5926086956521739)
([6], 0, {'feature': 6, 0: -1, 1: 0}, 0.5865217391304348)
([196], 0, {'feature': 196, 0: -1, 1: 1}, 0.5843478260869566)
([164], 0, {'feature': 164, 0: -1, 1: 0}, 0.5908695652173913)
([59], 0, {'feature': 59, 0: -1, 1: 0}, 0.5904347826086956)
([178], 0, {'feature': 178, 0: -1, 1: 3}, 0.5843478260869566)
([191], 0, {'feature': 191, 0: -1, 1: 0}, 0.5852173913043478)
([128], 0, {'feature': 128, 0: -1, 1: 3}, 0.5843478260869566)
([104], 0, {'feature': 104, 0: -1, 1: 3}, 0.5843478260869566)
([30], 0, {'feature': 30, 0: -1, 1: 3}, 0.5843478260869566)
([143], 0, {'feature': 143, 0: -1, 1: 3}, 0.5843478260869566)
([123], 0, {'feature': 123, 0: -1, 1: 3}, 0.5843478260869566)
([141], 0, {'feature': 141, 0: -1, 1: 3}, 0.5843478260869566)
([151], 0, {'feature': 151, 0: -1, 1: 0}, 0.5847826086956521)
([121], 0, {'feature': 121, 0: -1, 1: 3}, 0.5843478260869566)
([131], 0, {'feature': 131, 0: -1, 1: 3}, 0.5843478260869566)
([31], 0, {'feature': 31, 0: -1, 1: 0}, 0.5865217391304348)
([205], 0, {'feature': 205, 0: -1, 1: 3}, 0.5843478260869566)
([47], 0, {'feature': 47, 0: -1, 1: 3}, 0.5843478260869566)
([127], 0, {'feature': 127, 0: -1, 1: 0}, 0.5991304347826087)
([195], 0, {'feature': 195, 0: -1, 1: 1}, 0.5843478260869566)
([147], 0, {'feature': 147, 0: -1, 1: 3}, 0.5843478260869566)
([130], 0, {'feature': 130, 0: -1, 1: 0}, 0.6)
([170], 0, {'feature': 170, 0: -1, 1: 0}, 0.59)
