(0, 0, {0: -1, 1: 2, 'feature': 1}, 0.8605769230769231)
(2, 0, {0: -1, 1: 2, 'feature': 3}, 0.8605769230769231)
(3, 0, {0: 2, 1: -1, 'feature': 4}, 0.8605769230769231)
(6, 0, {0: 2, 1: -1, 'feature': 7}, 0.8605769230769231)
(8, 0, {0: -1, 1: 2, 'feature': 9}, 0.8605769230769231)
(9, 0, {0: -1, 1: 2, 'feature': 10}, 0.8605769230769231)
(10, 0, {0: 2, 1: -1, 'feature': 11}, 0.8605769230769231)
(12, 0, {0: 2, 1: -1, 'feature': 13}, 0.8605769230769231)
(14, 0, {0: -1, 1: 2, 'feature': 15}, 0.8605769230769231)
(19, 0, {0: -1, 1: 2, 'feature': 20}, 0.8605769230769231)
(20, 0, {0: -1, 1: 2, 'feature': 21}, 0.8605769230769231)
(21, 0, {0: -1, 1: 2, 'feature': 22}, 0.8605769230769231)
(22, 0, {0: 2, 1: -1, 'feature': 23}, 0.8605769230769231)
(25, 0, {0: -1, 1: 2, 'feature': 26}, 0.8605769230769231)
(26, 0, {0: -1, 1: 2, 'feature': 27}, 0.8605769230769231)
(27, 0, {0: -1, 1: 2, 'feature': 28}, 0.8605769230769231)
(28, 0, {0: -1, 1: 2, 'feature': 29}, 0.8605769230769231)
(29, 0, {0: -1, 1: 2, 'feature': 30}, 0.8605769230769231)
(30, 0, {0: -1, 1: 2, 'feature': 31}, 0.8605769230769231)
(32, 0, {0: 2, 1: -1, 'feature': 33}, 0.8605769230769231)
(33, 0, {0: -1, 1: 2, 'feature': 34}, 0.8605769230769231)
(34, 0, {0: -1, 1: 2, 'feature': 35}, 0.8605769230769231)
(35, 0, {0: -1, 1: 2, 'feature': 36}, 0.8605769230769231)
(36, 0, {0: -1, 1: 2, 'feature': 37}, 0.8605769230769231)
(37, 0, {0: -1, 1: 2, 'feature': 38}, 0.8605769230769231)
(38, 0, {0: -1, 1: 2, 'feature': 39}, 0.8605769230769231)
(39, 0, {0: -1, 1: 2, 'feature': 40}, 0.8605769230769231)
(40, 0, {0: 2, 1: -1, 'feature': 41}, 0.8605769230769231)
(41, 0, {0: -1, 1: 2, 'feature': 42}, 0.8605769230769231)
(42, 0, {0: 2, 1: -1, 'feature': 43}, 0.8605769230769231)
(43, 0, {0: 2, 1: -1, 'feature': 44}, 0.8605769230769231)
(44, 0, {0: -1, 1: 2, 'feature': 45}, 0.8605769230769231)
(45, 0, {0: 2, 1: -1, 'feature': 46}, 0.8605769230769231)
(46, 0, {0: 2, 1: -1, 'feature': 47}, 0.8605769230769231)
(47, 0, {0: -1, 1: 2, 'feature': 48}, 0.8605769230769231)
(48, 0, {0: -1, 1: 2, 'feature': 49}, 0.8605769230769231)
(49, 0, {0: 2, 1: -1, 'feature': 50}, 0.8605769230769231)
(50, 0, {0: 2, 1: -1, 'feature': 51}, 0.8605769230769231)
(51, 0, {0: 2, 1: -1, 'feature': 52}, 0.8605769230769231)
(52, 0, {0: 2, 1: -1, 'feature': 53}, 0.8605769230769231)
(54, 0, {0: 2, 1: -1, 'feature': 55}, 0.8605769230769231)
(56, 0, {0: 2, 1: -1, 'feature': 57}, 0.8605769230769231)
(58, 0, {0: -1, 1: 2, 'feature': 59}, 0.8605769230769231)
(59, 0, {0: -1, 1: 2, 'feature': 60}, 0.8605769230769231)
(61, 0, {0: 2, 1: -1, 'feature': 62}, 0.8605769230769231)
(63, 0, {0: 2, 1: -1, 'feature': 64}, 0.8605769230769231)
(64, 0, {0: 2, 1: -1, 'feature': 65}, 0.8605769230769231)
(65, 0, {0: -1, 1: 2, 'feature': 66}, 0.8605769230769231)
(66, 0, {0: -1, 1: 2, 'feature': 67}, 0.8605769230769231)
(67, 0, {0: 2, 1: -1, 'feature': 68}, 0.8605769230769231)
(68, 0, {0: -1, 1: 2, 'feature': 69}, 0.8605769230769231)
(69, 0, {0: -1, 1: 2, 'feature': 70}, 0.8605769230769231)
(71, 0, {0: 2, 1: -1, 'feature': 72}, 0.8605769230769231)
(73, 0, {0: -1, 1: 2, 'feature': 74}, 0.8605769230769231)
(74, 0, {0: -1, 1: 2, 'feature': 75}, 0.8605769230769231)
(75, 0, {0: -1, 1: 2, 'feature': 76}, 0.8605769230769231)
(76, 0, {0: -1, 1: 2, 'feature': 77}, 0.8605769230769231)
(79, 0, {0: 2, 1: -1, 'feature': 80}, 0.8605769230769231)
(80, 0, {0: 2, 1: -1, 'feature': 81}, 0.8605769230769231)
(81, 0, {0: -1, 1: 2, 'feature': 82}, 0.8605769230769231)
(82, 0, {0: 2, 1: -1, 'feature': 83}, 0.8605769230769231)
(83, 0, {0: 2, 1: -1, 'feature': 84}, 0.8605769230769231)
(84, 0, {0: -1, 1: 2, 'feature': 85}, 0.8605769230769231)
(85, 0, {0: -1, 1: 2, 'feature': 86}, 0.8605769230769231)
(86, 0, {0: 2, 1: -1, 'feature': 87}, 0.8605769230769231)
(87, 0, {0: 2, 1: -1, 'feature': 88}, 0.8605769230769231)
(88, 0, {0: 2, 1: -1, 'feature': 89}, 0.8605769230769231)
(89, 0, {0: 2, 1: -1, 'feature': 90}, 0.8605769230769231)
(91, 0, {0: 2, 1: -1, 'feature': 92}, 0.8605769230769231)
(93, 0, {0: 2, 1: -1, 'feature': 94}, 0.8605769230769231)
(94, 0, {0: -1, 1: 2, 'feature': 95}, 0.8605769230769231)
(95, 0, {0: -1, 1: 2, 'feature': 96}, 0.8605769230769231)
(96, 0, {0: -1, 1: 2, 'feature': 97}, 0.8605769230769231)
(98, 0, {0: 2, 1: -1, 'feature': 99}, 0.8605769230769231)
(100, 0, {0: 2, 1: -1, 'feature': 101}, 0.8605769230769231)
(101, 0, {0: 2, 1: -1, 'feature': 102}, 0.8605769230769231)
(102, 0, {0: -1, 1: 2, 'feature': 103}, 0.8605769230769231)
(103, 0, {0: -1, 1: 2, 'feature': 104}, 0.8605769230769231)
(104, 0, {0: 2, 1: -1, 'feature': 105}, 0.8605769230769231)
(105, 0, {0: -1, 1: 2, 'feature': 106}, 0.8605769230769231)
(106, 0, {0: -1, 1: 2, 'feature': 107}, 0.8605769230769231)
(108, 0, {0: 2, 1: -1, 'feature': 109}, 0.8605769230769231)
(109, 0, {0: -1, 1: 2, 'feature': 110}, 0.8605769230769231)
(110, 0, {0: -1, 1: 2, 'feature': 111}, 0.8605769230769231)
(111, 0, {0: -1, 1: 2, 'feature': 112}, 0.8605769230769231)
(112, 0, {0: -1, 1: 2, 'feature': 113}, 0.8605769230769231)
(113, 0, {0: -1, 1: 2, 'feature': 114}, 0.8605769230769231)
(114, 0, {0: 2, 1: -1, 'feature': 115}, 0.8605769230769231)
(115, 0, {0: -1, 1: 2, 'feature': 116}, 0.8605769230769231)
(116, 0, {0: 2, 1: -1, 'feature': 117}, 0.8605769230769231)
(117, 0, {0: 2, 1: -1, 'feature': 118}, 0.8605769230769231)
(118, 0, {0: -1, 1: 2, 'feature': 119}, 0.8605769230769231)
